nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
"Downtown Barcelona! Ramblas, Plaza Cataluña!",45,142,86,barcelona,197152,100
Habitacion privada en el centro,22,216,92,valencia,196697,45
Acogedora Habitación en Bravo Murillo,23,7,100,madrid,152465,90
"Quiet room well located, Av.America",23,74,97,madrid,152465,90
ATTIC PENTHOUSE WITH CHARM,50,31,95,valencia,196697,45
A Cosy single bedroom in El Born,45,16,96,barcelona,197152,100
COZY & NEW bohemian apartment --- GRAN VIA CENTER,75,83,94,madrid,152465,90
COZY  2 BR APT CLOSE TO REINA SOFIA MUSEUM,95,52,92,madrid,152465,90
Serennia Ramblas-Pl.Catalunya -2 rooms,230,1,100,barcelona,197152,100
Angeles Terraza,150,3,90,barcelona,197152,100
Duque de Osuna Interior,90,66,89,madrid,152465,90
